"node","layer","lat","lon","zone","atcocode"
239850,5,53.36351,-2.19193,180," 1800SG05471"
239851,5,51.11581, 1.16459,240,"2400A029060A"
239852,5,57.13733,-2.08795,639,"   639003901"
239853,5,55.13118,-1.64550,310," 3100Z227819"
239854,5,55.13018,-1.64461,310," 3100Z227818"
239855,5,51.67323,-1.30103,340,"340003038WYN"
239856,5,50.51927,-3.52897,110,"1100DEB10206"
239857,5,50.52426,-3.53077,110,"1100DEB10204"
239858,5,50.52439,-3.53039,110,"1100DEB10205"
239859,5,50.53439,-3.55427,110,"1100DEB10202"
239860,5,50.53101,-3.56556,110,"1100DEB10200"
239861,5,50.53452,-3.55436,110,"1100DEB10201"
239862,5,51.45324,-2.36999, 17,"0170SGB20538"
239863,5,51.45498,-2.36145, 17,"0170SGB20539"
239864,5,51.45679,-2.45721, 17,"0170SGB20532"
239865,5,51.45241,-2.43953, 17,"0170SGB20533"
239866,5,51.45936,-2.45158, 17,"0170SGB20530"
239867,5,52.81231,-3.11312,350," 3500B246100"
239868,5,52.81238,-3.11340,350," 3500B246101"
239869,5,51.45266,-2.43880, 17,"0170SGB20534"
239870,5,51.45323,-2.43579, 17,"0170SGB20535"
239871,5,55.04379,-1.53287,410,"410000003062"
239872,5,55.04335,-1.53798,410,"410000003063"
239873,5,51.07548,-0.72417,440,"  4400MO0138"
239874,5,55.04389,-1.53226,410,"410000003061"
239875,5,55.03123,-1.57150,410,"410000003066"
239876,5,55.03362,-1.56907,410,"410000003067"
239877,5,55.02794,-1.57548,410,"410000003065"
239878,5,51.04773,-0.72319,440,"  4400MO0132"
239879,5,51.04762,-0.72296,440,"  4400MO0133"
239880,5,51.04502,-0.72525,440,"  4400MO0130"
239881,5,55.03830,-1.57454,410,"410000003069"
239882,5,51.06785,-0.72359,440,"  4400MO0136"
239883,5,51.06909,-0.72386,440,"  4400MO0137"
239884,5,51.05205,-0.72024,440,"  4400MO0134"
239885,5,51.05228,-0.71974,440,"  4400MO0135"
239886,5,55.92160,-3.13756,620,"  6200239063"
239887,5,51.33403, 0.53732,249,"249000000207"
239888,5,51.33102, 0.54245,249,"249000000206"
239889,5,50.90556,-1.39794,198,"1980SN120643"
239890,5,51.33847, 0.53625,249,"249000000209"
239891,5,51.33839, 0.53643,249,"249000000208"
239892,5,52.09117, 0.42500,390,"   390050304"
239893,5,52.09110, 0.42477,390,"   390050303"
239894,5,52.09257, 0.41793,390,"   390050302"
239895,5,52.09057, 0.43051,390,"   390050300"
239896,5,52.08699, 0.43344,390,"   390050309"
239897,5,52.08946, 0.42947,390,"   390050308"
239898,5,55.93425,-3.24445,620,"  6200201320"
239899,5,52.02278, 0.91444,390,"   390010833"
239900,5,52.04513, 0.96262,390,"   390010834"
239901,5,53.36697,-2.18341,180," 1800SG06351"
239902,5,53.53835,-2.63800,180," 1800WK06351"
239903,5,55.08701,-1.77459,310," 3100Z144769"
239904,5,51.94500,-1.70075,160,"   1600GL759"
239905,5,51.94496,-1.70386,160,"   1600GL756"
239906,5,51.79640,-2.59842,160,"   1600GL751"
239907,5,51.79966,-2.59815,160,"   1600GL750"
239908,5,51.88625,-0.54272, 21,"   021013305"
239909,5,51.79625,-2.59852,160,"   1600GL752"
239910,5,57.64667,-3.33400,638,"   638053651"
239911,5,52.35256,-1.51837,420," 4200F064201"
239912,5,51.80695, 1.15492,150,"150044015008"
239913,5,53.70495,-1.60159,450,"   450015108"
239914,5,53.37078,-3.01540,280," 2800S20013A"
239915,5,51.48831,-0.93697,340,"340000269OPP"
239916,5,53.13115,-1.84831,380," 3800C812000"
239917,0,59.15393,-2.64025,920,"    9200SOY1"
239918,5,51.77225, 0.47080,150," 15000101504"
239919,5,51.42465, 0.24998,240,"2400A019100A"
239920,5,56.39242,-2.90333,650,"   6500N0521"
239921,5,51.43406, 0.37513,240,"2400A017150A"
239922,5,55.01630,-1.51065,410,"410000010978"
239923,5,55.00834,-1.52632,410,"410000010979"
239924,5,55.00425,-1.50550,410,"410000010975"
239925,5,55.00190,-1.51589,410,"410000010976"
239926,5,51.42228,-1.86625,460,"4600WIA10517"
239927,5,50.82490,-0.16902,149,"149000007905"
239928,5,50.83163,-0.15888,149,"149000007902"
239929,5,50.82846,-0.16519,149,"149000007903"
239930,5,53.61990,-2.67027,250,"     2500541"
239931,5,52.59009,-2.06892,430," 43000773901"
239932,5,52.58995,-2.06901,430," 43000773902"
239933,5,52.47314, 1.71040,390,"   390070659"
239934,5,52.60200,-2.04558,430," 43000782402"
239935,5,52.53187,-1.42564,420," 4200F216901"
239936,5,53.60774,-2.60107,180," 1800WA10791"
239937,5,55.55401,-2.46235,690,"    69001638"
239938,5,51.64676,-0.72479, 40,"040000003113"
239939,5,52.41293,-1.56749,430," 43000077302"
239940,5,52.41338,-1.56749,430," 43000077301"
239941,5,51.77730,-2.70323,533,"5330AWB31170"
239942,5,51.64995,-0.71614, 40,"040000003117"
239943,5,51.65078,-0.71400, 40,"040000003116"
239944,5,51.35880,-0.29934,490,"  490005115E"
239945,5,51.64907,-0.71817, 40,"040000003114"
239946,5,51.65225,-0.71289, 40,"040000003119"
239947,5,51.65476,-0.71188, 40,"040000003118"
239948,5,52.04265,-1.38752,340,"340001475CNR"
239949,5,52.03794,-0.79973, 49,"0490HLRDHIH4"
239950,5,55.48232,-4.61410,619,"     6190231"
239951,5,55.48248,-4.61509,619,"     6190232"
239952,5,52.06168,-1.48568,340,"  340000292V"
239953,5,55.46918,-4.62692,619,"     6190235"
239954,5,51.74290,-0.36649,210,"210021508360"
239955,5,55.46681,-4.62898,619,"     6190237"
239956,5,53.47174,-2.11280,180," 1800EH05201"
239957,5,52.21741,-1.42973,420," 4200F010300"
239958,5,52.44492,-2.07609,430," 43000807902"
239959,5,51.98583,-0.18969,210,"210021113880"
239960,5,56.08159,-3.35790,650,"   6500D9832"
239961,5,56.05039,-3.42238,650,"   6500D9830"
239962,5,51.53396,-3.06735,531,"5310WDB47549"
239963,5,53.54623,-2.70371,180," 1800WK03401"
239964,5,51.73442,-1.23188,340,"340001133OPP"
239965,5,53.61313,-2.58648,250,"   250010042"
239966,5,53.61460,-2.16424,180," 1800NE12321"
239967,5,53.57923,-2.68611,180," 1800WK22901"
239968,5,53.50460,-2.43345,180," 1800WK31901"
239969,5,51.27017, 1.09008,240,"2400A039600A"
239970,5,52.51433,-1.93876,430," 43000279502"
239971,5,52.58284,-2.13338,430," 43000706501"
239972,5,52.58263,-2.13330,430," 43000706502"
239973,5,56.00223,-3.71965,669," 66902240023"
239974,5,52.46904,-1.93306,430," 43000305501"
239975,5,56.00380,-3.71961,669," 66902240024"
239976,5,56.00583,-3.71762,669," 66902240025"
239977,5,56.00349,-3.71974,669," 66902240026"
239978,5,52.89029,-2.99097,350," 3500B070200"
239979,5,52.89044,-2.99112,350," 3500B070201"
239980,5,51.04642,-1.34838,190,"1900HA110004"
239981,5,53.54607,-2.11986,180," 1800ED17311"
239982,5,51.33403,-2.29989,460,"4600WIA11381"
239983,5,51.34789,-2.31508,460,"4600WIA11382"
239984,5,51.34799,-2.31496,460,"4600WIA11383"
239985,5,51.34994,-2.31427,460,"4600WIA11384"
239986,5,51.35006,-2.31433,460,"4600WIA11385"
239987,5,51.34894,-2.30996,460,"4600WIA11386"
